342	𒛟	9(N58)	NINE-N58	ignore		9(N58)		
343	𒛠	10(N01)	TEN-N1	ignore		10(N01)		
344	𒛡	10(N14)	TEN-N14	ignore		10(N14)		
345	𒛢	10(N14@f)	TEN-N14 FLAT	ignore		10(N14@f)		
346	𒛣	10(N57)	TEN-N57	ignore		10(N57)		
347	𒛤	10(N58)	TEN-N58	ignore		10(N58)		
348	𒛥	12(N14)	TWELVE-N14	ignore		12(N14)		
349	𒛦	12(N58)	TWELVE-N58	ignore		12(N58)		
350	𒛧	A	A			A		
351	𒛨	A@t	A TENU			A@t		
352	𒛩	A@g	A GUNU	remove		A@g		
353	𒛪	A2	A2			A₂		
354	𒛫	AB~a	AB-A			AB~a		
354.1	𒛬	AB~a	AB-A VARIANT 1			AB~a~v1		
355	𒛭	AB~a@g	AB-A GUNU			AB~a@g		
356	𒛮	AB~b	AB-B			AB~b		
357	𒛯	AB2	AB2			AB₂		
357.1	𒛰	AB2	AB2 VARIANT 1			AB₂~v1		
358	𒛱	ABGAL	ABGAL			ABGAL		
358.1	𒛲	ABGAL	ABGAL VARIANT 1			ABGAL~v1		
359	𒛳	ABRIG	ABRIG			ABRIG		
360	𒛴	ABZU	ABZU			ABZU		
361	𒛵	AD~a	AD-A			AD~a		
362	𒛶	AD~b	AD-B			AD~b		
363	𒛷	AD~c	AD-C			AD~c		
364	𒛸	ADAB	ADAB			ADAB		
365	𒛹	ADDA	ADDA			ADDA		
366	𒛺	ADDA@t-2	ADDA TENU-2			ADDA@t		
367	𒛻	AGAR2	AGAR2			AGAR₂		
368	𒛼	AK~a	AK-A			AK~a		
369	𒛽	AK~b	AK-B			AK~b		
370	𒛾	AL	AL			AL		
371	𒛿	ALAN~a	ALAN-A			ALAN~a		
372	𒜀	ALAN~b	ALAN-B			ALAN~b		
373	𒜁	ALAN~c	ALAN-C			ALAN~c		
374	𒜂	ALAN~d	ALAN-D			ALAN~d		
375	𒜃	ALAN~e	ALAN-E			ALAN~e		
376	𒜄	ALAN~f	ALAN-F	remove		ALAN~f		
377	𒜅	ALIM	ALIM			ALIM		
378	𒜆	AM~a	AM-A			AM~a		
379	𒜇	AM~b	AM-B			AM~b		
380	𒜈	AMA~a	AMA-A			AMA~a		
380.1	𒜉	AMA~a	AMA-A VARIANT 1			AMA~a~v1		
381	𒜊	AMA~b	AMA-B			AMA~b		
382	𒜋	AMAR	AMAR			AMAR		
382.1	𒜌	AMAR	AMAR VARIANT 1			AMAR~v1		
382.2	𒜍	AMAR	AMAR VARIANT 2			AMAR~v2		
383	𒜎	AMAR@g	AMAR GUNU			AMAR@g		
384	𒜏	AN	AN			AN		
384.1	𒜐	AN	AN VARIANT 1	delete	# Duplicates 384 AN 𒜏 	AN~v1		
384.2	𒜑	AN	AN VARIANT 2			AN~v2		
385	𒜒	ANSZE~a	ANSHE-A			ANŠE~a		
386	𒜓	ANSZE~b	ANSHE-B			ANŠE~b		
387	𒜔	ANSZE~c	ANSHE-C			ANŠE~c		
