   1 g	o0903028..	@pcsl/pc25%pc:n/1(N28)=1(N28)--#wn%qpc:#u%:#a1#a1#u0#.k-------	1(N28)
   1 g	o0903028..	@pcsl/pc25%pc:n/1(N28)=1(N28)--#wn%qpc:#u%:#a1#a1#u0#.k?------	1(N28)
   1 g	o0903028..	@pcsl/pc25%pc:n/1(N28)=1(N28)--#wn%qpc:#u%:#a1#a1#u0#+k-------	1(N28)
   1 g	o0903037..	@pcsl/pc25%pc:n/2(N29~a)=2(N29A)--#wn%qpc:#u%:#a1#a1#u0#.k-------	2(N29~a)
   1 g	o0903040..	@pcsl/pc25%pc:n/1(N29A~b)=1(N29AB)--#wn%qpc:#u%:#a1#a1#u0#.k-------	1(N29A~b)
   1 g	o0903043..	@pcsl/pc25%pc:n/2(N29A~b)=2(N29AB)--#wn%qpc:#u%:#a1#a1#u0#+k-------	2(N29A~b)
   1 g	o0903051..	@pcsl/pc25%pc:n/1(N30~a)=1(N30A)--#wn%qpc:#u%:#a1#a1#u0#.k-------	1(N30~a)
   1 g	o0903056..	@pcsl/pc25%pc:n/1(N31)=1(N31)--#wn%qpc:#u%:#a1#a1#u0#.k?------	1(N31)
   1 g	o0903059..	@pcsl/pc25%pc:n/1(N34)=1(N34)--#wn%qpc:#u%:#a1#a1#u0#+k-------	1(N34)
   3 g	o0903115..	@pcsl/pc25%pc:n/1(N41)=1(N41)--#wn%qpc:#u%:#a1#a1#u0#+k-------	1(N41)
   1 g	o0903116..	@pcsl/pc25%pc:n/2(N41)=2(N41)--#wn%qpc:#u%:#a1#a1#u0#+k-------	2(N41)
   1 g	o0903118..	@pcsl/pc25%pc:n/4(N41)=4(N41)--#wn%qpc:#u%:#a1#a1#u0#.k-------	4(N41)
   2 g	o0903210..	@pcsl/pc25%pc:n/1(N57)=1(N57)--#wn%qpc:#u%:#a1#a1#u0#+k-------	1(N57)
   1 g	o0903210..	@pcsl/pc25%pc:n/1(N57)=1(N57)--#wn%qpc:#u%:#a1#a1#u0#+m-------	1(N57)
   2 g	o0903222..	@pcsl/pc25%pc:n/2(N57)=2(N57)--#wn%qpc:#u%:#a1#a1#u0#+k-------	2(N57)
   7 g	o0903234..	@pcsl/pc25%pc:n/3(N57)=3(N57)--#wn%qpc:#u%:#a1#a1#u0#+m-------	3(N57)
   1 g	o0903264..	@pcsl/pc25%pc:n/5(N57)=5(N57)--#wn%qpc:#u%:#a1#a1#u0#+m-------	5(N57)
   1 g	o0903268..	@pcsl/pc25%pc:n/6(N57)=6(N57)--#wn%qpc:#u%:#a1#a1#u0#+m-------	6(N57)
   1 g	o0903281..	@pcsl/pc25%pc:c/=|1(N58).BAD|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|1(N58).BAD~a|
   1 g	o0903310..	@pcsl/pc25%pc:n/1(N30~e)=1(N30E)--#wn%qpc:#u%:#a1#a1#u0#+k-------	1(N30~e)
   4 g	o0903311..	@pcsl/pc25%pc:n/1(N39~a)=1(N39A)--#wn%qpc:#u%:#a1#a1#u0#+k-------	1(N39~a)
   2 g	o0903312..	@pcsl/pc25%pc:n/2(N39~a)=2(N39A)--#wn%qpc:#u%:#a1#a1#u0#+k-------	2(N39~a)
   1 g	o0903336..	@pcsl/pc25%pc:n/1(N24~b)=1(N24B)--#wn%qpc:#u%:#a1#a1#u0#+k-------	1(N24~b)
   3 g	o0903368..	@pcsl/pc25%pc:s/X=X--#wn%qpc:#u%:#a1#a1#u0#+k-------	X
   1 g	o0903368..	@pcsl/pc25%pc:s/X=X--#wn%qpc:#u%:#a1#a1#u0#+k?------	X
   1 g	o0903602..	@pcsl/pc25%pc:c/GI=|GI&GI&GI|--#wn%qpc:#u%:#a1#a1#e0#+m-------	|GI&GI&GI|
