o0900006	1×
o0900321	4×
o0902189	0×
o0901386	4×
o0903160	0×
o0900694	5×
o0902789	0×
o0901767	0×
o0902826	1×
o0902178	29×
o0900005	1×
o0901343	1×
o0901426	198×
o0900650	3×
o0900747	1×
o0902119	0×
o0902910	0×
o0902074	4×
o0900447	1×
o0903005	47×
o0901283	3×
o0900207	30×
o0901273	0×
o0902380	0×
o0900914	3×
o0900303	1×
o0903016	300×
o0901047	9×
o0901826	2×
o0900773	2×
o0901689	1×
o0901264	3×
o0902970	2×
o0901984	1×
o0900150	1×
o0902044	10×
o0901328	1×
o0901130	1×
o0901617	0×
o0902112	26×
o0900691	5×
o0901147	0×
o0900000	361×
o0901808	4×
o0901800	4×
o0902250	119×
o0903265	8×
o0900340	2×
o0900322	1×
o0901093	1×
o0903235	1×
o0901731	17×
o0900293	1×
o0901115	178×
o0902529	4×
o0902523	3×
o0900966	3×
o0900269	31×
o0901197	1×
o0903134	243×
o0900204	0×
o0902207	44×
o0900331	200×
o0901943	2×
o0900175	396×
o0902680	9×
o0900779	244×
o0902453	15×
o0902638	0×
o0901643	21×
o0902467	4×
o0902911	0×
o0902185	1×
o0903268	13×
o0901159	4×
o0903081	1×
o0902531	2×
o0901560	1×
o0900149	3×
o0900525	2×
o0901076	0×
o0903082	33×
o0902960	8×
o0902518	2×
o0903062	99×
o0900585	1×
o0900010	2×
o0901239	1×
o0901572	5×
o0902977	19×
o0900749	1×
o0901378	1×
o0902088	1×
o0901658	0×
o0900151	6×
o0900007	1×
o0900677	1×
o0903131	2×
o0902033	418×
o0902188	6×
o0901397	1×
o0903368	4339×
o0902202	1×
o0901519	1×
o0902555	1×
o0901839	1×
o0903161	64×
o0902877	5×
o0901057	5×
o0900443	1×
o0902788	0×
o0900883	30×
o0902827	1×
o0902591	0×
o0901116	7×
o0903003	2×
o0902542	1×
o0901919	21×
o0900205	23×
o0900594	5×
o0903076	1×
o0901609	8×
o0902528	1×
o0900523	0×
o0902965	2×
o0903087	0×
o0903014	1×
o0902722	4×
o0900077	81×
o0900652	0×
o0901303	3×
o0903047	2×
o0900220	1×
o0902532	2×
o0901430	1×
o0902645	1×
o0902077	1×
o0902323	10×
o0902972	81×
o0902466	3×
o0903337	1×
o0901284	37×
o0901688	0×
o0901158	156×
o0901071	4×
o0902118	1×
o0900148	3×
o0901471	1×
o0902822	1×
o0901234	0×
o0902702	3×
o0900152	1×
o0900529	9×
o0900923	1×
o0903264	40×
o0900997	1×
o0900128	14×
o0901263	5×
o0901145	273×
o0901858	1×
o0900492	0×
o0900503	38×
o0900803	2×
o0900683	0×
o0900557	2×
o0902522	1×
o0901838	3×
o0901518	13×
o0902109	5×
o0900597	8×
o0900919	1×
o0903012	1×
o0901117	2×
o0900279	312×
o0901918	60×
o0900014	52×
o0901979	1×
o0900351	13×
o0901097	13×
o0900294	2×
o0902251	1×
o0902176	0×
o0901353	2×
o0901131	18×
o0903080	1×
o0902184	1×
o0902028	17×
o0901804	0×
o0901608	1×
o0902349	0×
o0901924	1×
o0902675	1×
o0900755	2×
o0903236	3×
o0902519	1×
o0901684	0×
o0902117	2×
o0902076	18×
o0902718	2×
o0900519	14×
o0900433	18×
o0901325	9×
o0900376	10×
o0902204	1×
o0903163	10×
o0900056	27×
o0902382	2×
o0901330	1×
o0900977	10×
o0901030	51×
o0901339	1×
o0902876	4×
o0903135	1×
o0900542	1×
o0901493	63×
o0900109	1×
o0900908	157×
o0903248	25×
o0903070	1×
o0900800	46×
o0903002	4×
o0900736	41×
o0901262	44×
o0903085	3×
o0903097	188×
o0900556	0×
o0902964	6×
o0902089	2×
o0903015	2×
o0903037	4×
o0902209	7×
o0901123	23×
o0900918	3×
o0900596	4×
o0900812	6×
o0900139	2×
o0903155	1×
o0901396	20×
o0901781	1×
o0902598	1×
o0901431	24×
o0900450	1×
o0901893	0×
o0902973	73×
o0902433	5×
o0902824	0×
o0900707	9×
o0902873	22×
o0902455	1×
o0902318	6×
o0900379	2×
o0902642	17×
o0900534	20×
o0902116	185×
o0902324	15×
o0901336	0×
o0902819	1×
o0900354	1×
o0901408	2×
o0901078	108×
o0902868	2×
o0901628	2×
o0901991	0×
o0903356	3×
o0902515	9×
o0902683	12×
o0900510	1×
o0900709	13×
o0901719	5×
o0900976	141×
o0903010	1×
o0901338	3×
o0900543	2×
o0903098	9×
o0900284	12×
o0900801	7×
o0902473	6×
o0902495	20×
o0900153	1×
o0900504	5×
o0902177	9×
o0901075	34×
o0901191	0×
o0901707	1×
o0902148	1×
o0902111	17×
o0900296	34×
o0901122	50×
o0901798	1×
o0900715	1×
o0900953	1×
o0902102	219×
o0901890	4×
o0902706	10×
o0902026	1×
o0902244	0×
o0902699	89×
o0902434	3×
o0902749	2×
o0902913	1×
o0901568	0×
o0901400	0×
o0901843	11×
o0902054	1×
o0902521	1×
o0903132	1×
o0903278	2×
o0902205	1×
o0900864	1×
o0901752	17×
o0901822	2×
o0902325	3×
o0900259	1×
o0902187	0×
o0902565	1×
o0900810	1×
o0902783	0×
o0902172	2×
o0902966	3×
o0903084	5×
o0901409	1×
o0902282	2×
o0901718	46×
o0900287	28×
o0902198	9×
o0903153	79×
o0901639	558×
o0903287	1×
o0902000	5×
o0900166	1×
o0902321	0×
o0900932	1×
o0901465	3×
o0902200	1×
o0900277	1×
o0903243	2×
o0900835	1×
o0903117	20×
o0902875	13×
o0900628	1×
o0901371	2×
o0902825	0×
o0901687	18×
o0901891	12×
o0901082	70×
o0900952	2×
o0902245	4×
o0900476	1×
o0902727	1×
o0900012	314×
o0902150	1×
o0900535	9×
o0903006	31×
o0900815	1×
o0902829	92×
o0902818	4×
o0902593	1×
o0903123	78×
o0901155	0×
o0903105	3×
o0902574	9×
o0902557	25×
o0902869	108×
o0901363	21×
o0901753	16×
o0901990	28×
o0900508	0×
o0903011	1×
o0901036	1×
o0901491	1×
o0902878	3×
o0901432	1×
o0900401	3×
o0901986	16×
o0902319	0×
o0900258	1×
o0900484	30×
o0902472	2×
o0900378	1×
o0902416	9×
o0903142	0×
o0902820	0×
o0900403	0×
o0900481	1×
o0900931	6×
o0903355	4×
o0903094	28×
o0900167	1×
o0902138	3×
o0900983	186×
o0900218	5×
o0900577	1×
o0902520	1×
o0903279	1×
o0900834	0×
o0901464	7×
o0900038	3×
o0902328	4×
o0901613	3×
o0902238	2×
o0901144	1×
o0901578	4×
o0900545	117×
o0900464	0×
o0902567	1×
o0902133	1×
o0900771	0×
o0902558	9×
o0902174	2×
o0902186	3×
o0902564	3×
o0902477	1×
o0902435	2×
o0902782	0×
o0901720	2×
o0903104	78×
o0902121	22×
o0900935	25×
o0900725	0×
o0902575	20×
o0901416	3×
o0902199	0×
o0902803	0×
o0900375	0×
o0901138	26×
o0901270	33×
o0903115	24×
o0902525	3×
o0902179	1×
o0902201	2×
o0902351	1×
o0903242	6×
o0900641	1×
o0903664	1×
o0900276	59×
o0900941	1×
o0902874	13×
o0903116	27×
o0901073	52×
o0901377	86×
o0900984	8×
o0900053	36×
o0900541	128×
o0900817	1×
o0900458	1×
o0903004	1×
o0902535	7×
o0902183	1×
o0903308	6×
o0901448	15×
o0902787	0×
o0900862	0×
o0900853	1×
o0901028	1×
o0900093	6×
o0900846	4×
o0901941	56×
o0901973	1×
o0900136	14×
o0902794	0×
o0901746	57×
o0900925	0×
o0902436	1×
o0902811	0×
o0901429	1×
o0901373	2×
o0902559	2×
o0902445	11×
o0901751	12×
o0902428	2×
o0901083	19×
o0900929	26×
o0902035	20×
o0903140	3×
o0900001	0×
o0900675	0×
o0902211	8×
o0900142	2×
o0900724	73×
o0901128	99×
o0903113	26×
o0902871	67×
o0901012	1×
o0902821	0×
o0902641	5×
o0900347	10×
o0902398	1×
o0901335	9×
o0901834	2×
o0901271	1×
o0900547	1×
o0903634	0×
o0903043	1×
o0901461	83×
o0902947	0×
o0900165	3×
o0900544	16×
o0902619	11×
o0902566	1×
o0901436	0×
o0900094	21×
o0900699	1×
o0903270	3×
o0902175	1×
o0901127	1×
o0900506	0×
o0900930	2×
o0901467	2×
o0902367	1×
o0900689	1×
o0900154	292×
o0902276	1×
o0902232	2×
o0900829	20×
o0900219	2×
o0901417	3×
o0902655	1×
o0903231	2×
o0901790	5×
o0901189	10×
o0900485	52×
o0901957	0×
o0901080	97×
o0902577	15×
o0901504	78×
o0903090	2×
o0901483	208×
o0902429	3×
o0901011	1×
o0902203	1×
o0902524	1×
o0901361	107×
o0900890	19×
o0903114	16×
o0902385	4×
o0902190	1×
o0900143	1×
o0900373	7×
o0901721	1×
o0902332	54×
o0900816	2×
o0901948	1×
o0900757	2×
o0902781	1×
o0902170	1×
o0903086	1×
o0902182	9×
o0901567	1×
o0900719	42×
o0902940	38×
