𒨼	o0901506	12A3C	|NI~a×1(N57)|
𒡼	o0900820	1287C	|GI×ŠE₃|
𒨋	o0901437	12A0B	NA~a
𒝫	o0900325	1276B	|DUB@n~b×1(N58)~a|
𒬸	o0901914	12B38	|(ŠA×HI@g~a)~a|
𒚕	o0900005	12695	|A×1(N14)|
𒫡	o0901765	12AE1	SIG₂~e
󰃪	o0903160	F00EA	3(N47)
𒰵	o0902270	12C35	|UKKIN~b×(DIN.1(N01))|
𒚲	o0900056	126B2	ADAB
󳁧	o0900057	F3067	ADAB~1
󲣬	o0901300	F28EC	LAK777
𒯦	o0902166	12BE6	|U₄.4(N08)|
𒤋	o0901020	1290B	IŠ~a
𒤌	o0901021	1290C	IŠ~a~1
󳂵	o0903696	F30B5	IŠ~a~2
󳂜	o0903671	F309C	IŠ~a~3
𒢉	o0900829	12889	GI₄~a
𒴿	o0902623	12D3F	ZATU722
𒟪	o0900537	127EA	ENLIL
󳁁	o0901555	F3041	|NINDA₂×MAR~a|
𒦕	o0901258	12995	|LAGAB~a×ZATU753|
󳂽	o0903704	F30BD	|LAGAB~a×ZATU753|~1
𒯾	o0902191	12BFE	|U₄×5(N01).1(N14)|
󳁹	o0901873	F3079	SU~c
𒤢	o0901052	12922	KAK~a
𒮗	o0903635	12B97	|ŠU₂.URI₃~a|
𒜄	o0900166	12704	BIR~b
𒭥	o0901981	12B65	ŠEN~c@t
𒬶	o0901909	12B36	SUSA
𒝉	o0900270	12749	DIM~b
𒥹	o0901175	12979	KUŠU₂~d
𒲊	o0902406	12C8A	UTUL~a
𒠖	o0900623	12816	|GA₂~a1×A|
𒶼	o0902776	12DBC	ZATU808
𒷬	o0902830	12DEC	ZI~a
𒷫	o0902829	12DEB	ZI~a~1
𒜐	o0900191	12710	|(BU~a&BU~a).NA₂~a|
𒜑	o0900192	12711	|(BU~a&BU~a).NA₂~a|~1
󲵃	o0900925	F2D43	|GUG₂×ŠITA~a1|
𒘣	o0903022	12623	1(N25)
𒯸	o0902184	12BF8	|U₄×2(N01).2(N14).1(N08)|
𒳵	o0902537	12CF5	ZATU677~a
𒗪	o0903334	125EA	1(N24A)
󰄩	o0903302	F0129	3(N61)
𒢋	o0900834	1288B	|GI₄~a&GI₄~a|
𒥳	o0901162	12973	KUR~d
󰄑_𒨅	o0903222	F0111	|2(N57).MUŠEN|
𒞜	o0900441	1279C	|DUG~b×(TAK₄~a.SA~a)|
𒖽	o0903108	125BD	4(N39B)
𒕫	o0903059	1256B	1(N34)
󳀍	o0901900	F300D	SUKUD@h
𒖶	o0903097	125B6	1(N39A)
𒝍	o0900279	1274D	DU
𒴋	o0902563	12D0B	ZATU688~b
𒵔	o0902647	12D54	ZATU736~a
𒛚	o0900111	126DA	ASAR
𒷧	o0902820	12DE7	ZATU852
𒵨	o0902659	12D68	|ZATU737×DI|
𒵚	o0902658	12D5A	|ZATU737×DI|~1
𒱛	o0902325	12C5B	UR₄~c
𒦖	o0901223	12996	|LAGAB~a×2(N14)|
𒲯	o0902455	12CAF	ZATU628~b
𒳔	o0902502	12CD4	|ZATU651×X|
𒶦	o0902753	12DA6	ZATU782
𒜬	o0900231	1272C	DAR~d
𒙐	o0902852	12650	5(N01@f)
󰁨	o0903444	F0068	5(N01@f)~1
𒪥	o0901671	12AA5	RU
𒪣	o0901670	12AA3	RU~1
𒮂	o0902005	12B82	ŠITA~a2
𒶄	o0902717	12D84	|ZATU759×(KU₆~a+KU₆~a)|
𒷪	o0902823	12DEA	ZATU855
𒥌	o0901110	1294C	KINGAL
𒥋	o0901109	1294B	KINGAL~1
𒥌	o0901110	1294C	KINGAL~2
𒤦	o0901058	12926	KAL~b1
𒤧	o0901059	12927	KAL~b1~1
𒥾	o0901181	1297E	LA~d
𒣪	o0900966	128EA	|HI×LAGAB~a|
𒤞	o0901047	1291E	KAD₄~a
𒧶	o0901408	129F6	MUN~a2
󳂾	o0903705	F30BE	MUN~a2~1
𒶊	o0902722	12D8A	ZATU762~a
𒶍	o0902724	12D8D	ZATU762~a~1
𒶌	o0902723	12D8C	ZATU762~a~2
𒴉	o0902560	12D09	ZATU687
𒱐	o0902311	12C50	|UR₂×TAR~c|
𒮥	o0902071	12BA5	ŠURUPPAK~b
𒮤	o0902070	12BA4	ŠURUPPAK~b~1
𒮥	o0902071	12BA5	ŠURUPPAK~b~2
𒙽	o0902984	1267D	3(N19@f)
𒵉	o0902634	12D49	ZATU729
𒵊	o0902635	12D4A	ZATU729~1
𒙥	o0903076	12665	7(N34@f)
󰂮	o0903514	F00AE	7(N34@f)~1
𒣹	o0900991	128F9	IG~a
𒜾	o0900256	1273E	DARA₄~c3
󳃨	o0903747	F30E8	|GU₄×1(N58)|
𒭜	o0901963	12B5C	ŠE₃
𒭚	o0901962	12B5A	ŠE₃~1
𒶣	o0902750	12DA3	ZATU779
𒡁	o0900620	12841	GA₂~b
𒥄	o0901100	12944	KID~d
𒢜	o0900858	1289C	GIR₃~a
𒟓	o0900508	127D3	E₃~a
𒜘	o0900205	12718	BU₃
𒢿	o0900911	128BF	|GU₄.ZATU755~b|
𒳼	o0902545	12CFC	ZATU680~b
𒳻	o0902544	12CFB	ZATU680~b~1
󲱱	o0900273	F2C71	|DIM~a×GU|
𒖰	o0903053	125B0	1(N30C)
𒪛	o0901656	12A9B	PU₂
󳃁	o0903708	F30C1	PU₂~1
󳂡	o0903676	F30A1	PU₂~2
𒠟	o0900652	1281F	|GA₂~a1×(HI.SUHUR)|
𒞉	o0900384	12789	|DUG~b×(KUR~a.X)|
󲩙	o0902079	F2A59	TA~f
𒶬	o0902759	12DAC	ZATU788
𒷑	o0902797	12DD1	ZATU832
𒦊	o0901229	1298A	|LAGAB~a×NUN~b|
𒕐	o0902858	12550	1(N01)
𒴼	o0902620	12D3C	ZATU719
󰃳	o0902847	F00F3	6(LAGAB~a)
󰃺	o0902911	F00FA	1(N08~v)
𒟮	o0900544	127EE	ERIM₂
𒕶	o0903163	12576	3(N48)
󰃃	o0903535	F00C3	3(N48)~1
𒚦	o0900031	126A6	|AB~b×ŠA₃~a1|
󿿼	o0901375	FFFFC	MAR~a@t
𒳜	o0902508	12CDC	|ZATU659×1(N14)|
𒦌	o0901234	1298C	|LAGAB~a×SI|
𒰊	o0902205	12C0A	|U₄×(3(N14).7(N01))|
𒦵	o0901303	129B5	LIŠ
󰄦	o0903297	F0126	3(N59)
𒬝	o0901871	12B1D	SU~a
𒬛	o0901870	12B1B	SU~a~1
𒛄	o0900079	126C4	AMA~b
𒞍	o0900391	1278D	|DUG~b×MAŠ|
𒞳	o0900392	127B3	|DUG~b×MAŠ|~1
