serial	char	cdli	ap23-name	action	comment	pcsl	new-name	new-code	sort	components
247	𒙻	5(N20)	FIVE-N20	ignore		5(N20)			2306	
248	𒙼	5(N21)	FIVE-N21	ignore		5(N21)			2314	
249	𒙽	5(N23)	FIVE-N23	ignore		5(N23)			2324	
250	𒙾	5(N34)	FIVE-N34	ignore		5(N34)			2380	
251	𒙿	5(N34@f)	FIVE-N34 FLAT	ignore		5(N34@f)			2381	
252	𒚀	5(N35)	FIVE-N35	ignore		5(N35)			2392	
253	𒚁	5(N36)	FIVE-N36	ignore		5(N36)			2398	
254	𒚂	5(N45)	FIVE-N45	ignore		5(N45)			2455	
255	𒚃	5(N45@f)	FIVE-N45 FLAT	ignore		5(N45@f)			2456	
256	𒚄	5(N48)	FIVE-N48	ignore		5(N48)			2477	
257	𒚅	5(N49)	FIVE-N49	ignore		5(N49)			2484	
258	𒚆	5(N50)	FIVE-N50	ignore		5(N50)			2489	
259	𒚇	5(N51)	FIVE-N51	ignore		5(N51)			2498	
260	𒚈	5(N51@f)	FIVE-N51 FLAT	ignore		5(N51@f)			2499	
261	𒚉	5(N52)	FIVE-N52	ignore		5(N52)			2511	
262	𒚊	5(N54)	FIVE-N54	ignore		5(N54)			2517	
263	𒚋	5(N57)	FIVE-N57	ignore		5(N57)			2577	
264	𒚌	5(N58)	FIVE-N58	ignore		5(N58)			2609	
265	𒚍	6(N01)	SIX-N1	ignore		6(N01)			2166	
266	𒚎	6(N01@f)	SIX-N1 FLAT	ignore		6(N01@f)			2167	
267	𒚏	6(N02)	SIX-N2	ignore		6(N02)			2183	
268	𒚐	6(N08)	SIX-N8	ignore		6(N08)			2233	
269	𒚑	6(N14)	SIX-N14	ignore		6(N14)			2252	
269.1	𒚒	6(N14)	SIX-N14 VARIANT 1	ignore		6(N14)~v1			2253	
270	𒚓	6(N14@f)	SIX-N14 FLAT	ignore		6(N14@f)			2254	
271	𒚔	6(N18)	SIX-N18	ignore		6(N18)			2278	
272	𒚕	6(N19)	SIX-N19	ignore		6(N19)			2293	
273	𒚖	6(N19@f)	SIX-N19 FLAT	ignore		6(N19@f)			2294	
274	𒚗	6(N20)	SIX-N20	ignore		6(N20)			2307	
275	𒚘	6(N21)	SIX-N21	ignore		6(N21)			2315	
276	𒚙	6(N24)	SIX-N24	ignore		6(N24)			2332	
277	𒚚	6(N34)	SIX-N34	ignore		6(N34)			2382	
278	𒚛	6(N34@f)	SIX-N34 FLAT	ignore		6(N34@f)			2383	
279	𒚜	6(N36)	SIX-N36	ignore		6(N36)			2399	
280	𒚝	6(N45)	SIX-N45	ignore		6(N45)			2457	
281	𒚞	6(N45@f)	SIX-N45 FLAT	ignore		6(N45@f)			2458	
282	𒚟	6(N48)	SIX-N48	ignore		6(N48)			2478	
283	𒚠	6(N51)	SIX-N51	ignore		6(N51)			2500	
284	𒚡	6(N51@f)	SIX-N51 FLAT	ignore		6(N51@f)			2501	
285	𒚢	6(N57)	SIX-N57	ignore		6(N57)			2582	
285.1	𒚣	6(N57)	SIX-N57 VARIANT 1	ignore		6(N57)~v1			2581	
286	𒚤	6(LAGAB~a)	SIX-LAGAB-A	ignore		6(LAGAB~a)			1966	
287	𒚥	7(N01)	SEVEN-N1	ignore		7(N01)			2168	
288	𒚦	7(N01@f)	SEVEN-N1 FLAT	ignore		7(N01@f)			2169	
289	𒚧	7(N02)	SEVEN-N2	ignore		7(N02)			2184	
290	𒚨	7(N08)	SEVEN-N8	ignore		7(N08)			2234	
291	𒚩	7(N14)	SEVEN-N14	ignore		7(N14)			2255	
292	𒚪	7(N14@f)	SEVEN-N14 FLAT	ignore		7(N14@f)			2256	
293	𒚫	7(N18)	SEVEN-N18	ignore		7(N18)			2279	
294	𒚬	7(N19)	SEVEN-N19	ignore		7(N19)			2295	
295	𒚭	7(N19@f)	SEVEN-N19 FLAT	ignore		7(N19@f)			2296	
296	𒚮	7(N20)	SEVEN-N20	ignore		7(N20)			2308	
297	𒚯	7(N23)	SEVEN-N23	ignore		7(N23)			2325	
298	𒚰	7(N34)	SEVEN-N34	ignore		7(N34)			2384	
299	𒚱	7(N34@f)	SEVEN-N34 FLAT	ignore		7(N34@f)			2385	
300	𒚲	7(N36)	SEVEN-N36	ignore		7(N36)			2400	
301	𒚳	7(N45)	SEVEN-N45	ignore		7(N45)			2459	
302	𒚴	7(N45@f)	SEVEN-N45 FLAT	ignore		7(N45@f)			2460	
303	𒚵	7(N48)	SEVEN-N48	ignore		7(N48)			2479	
304	𒚶	7(N51)	SEVEN-N51	ignore		7(N51)			2502	
305	𒚷	7(N51@f)	SEVEN-N51 FLAT	ignore		7(N51@f)			2503	
306	𒚸	7(N57)	SEVEN-N57	ignore		7(N57)			2586	
307	𒚹	8(N01)	EIGHT-N1	ignore		8(N01)			2170	
308	𒚺	8(N01@f)	EIGHT-N1 FLAT	ignore		8(N01@f)			2171	
309	𒚻	8(N02)	EIGHT-N2	ignore		8(N02)			2185	
310	𒚼	8(N08)	EIGHT-N8	ignore		8(N08)			2235	
311	𒚽	8(N14)	EIGHT-N14	ignore		8(N14)			2257	
312	𒚾	8(N14@f)	EIGHT-N14 FLAT	ignore		8(N14@f)			2258	
313	𒚿	8(N18)	EIGHT-N18	ignore		8(N18)			2280	
314	𒛀	8(N19)	EIGHT-N19	ignore		8(N19)			2297	
315	𒛁	8(N19@f)	EIGHT-N19 FLAT	ignore		8(N19@f)			2298	
316	𒛂	8(N20)	EIGHT-N20	ignore		8(N20)			2309	
317	𒛃	8(N34)	EIGHT-N34	ignore		8(N34)			2386	
318	𒛄	8(N34@f)	EIGHT-N34 FLAT	ignore		8(N34@f)			2387	
319	𒛅	8(N36)	EIGHT-N36	ignore		8(N36)			2401	
320	𒛆	8(N45@f)	EIGHT-N45 FLAT	ignore		8(N45@f)			2461	
321	𒛇	8(N51)	EIGHT-N51	ignore		8(N51)			2504	
322	𒛈	8(N51@f)	EIGHT-N51 FLAT	ignore		8(N51@f)			2505	
323	𒛉	8(N57)	EIGHT-N57	ignore		8(N57)			2588	
324	𒛊	8(N58)	EIGHT-N58	ignore		8(N58)			2610	
325	𒛋	9(N01)	NINE-N1	ignore		9(N01)			2172	
325.1	𒛌	9(N01)	NINE-N1 VARIANT 1	ignore		9(N01)~v1			2173	
326	𒛍	9(N01@f)	NINE-N1 FLAT	ignore		9(N01@f)			2174	
327	𒛎	9(N02)	NINE-N2	ignore		9(N02)			2186	
328	𒛏	9(N08)	NINE-N8	ignore		9(N08)			2236	
329	𒛐	9(N14)	NINE-N14	ignore		9(N14)			2259	
330	𒛑	9(N14@f)	NINE-N14 FLAT	ignore		9(N14@f)			2260	
331	𒛒	9(N18)	NINE-N18	ignore		9(N18)			2281	
331.1	𒛓	9(N18)	NINE-N18 VARIANT 1	ignore		9(N18)~v1			2282	
332	𒛔	9(N19)	NINE-N19	ignore		9(N19)			2300	
332.1	𒛕	9(N19)	NINE-N19 VARIANT 1	ignore		9(N19)~v1			2299	
333	𒛖	9(N19@f)	NINE-N19 FLAT	ignore		9(N19@f)			2301	
334	𒛗	9(N20)	NINE-N20	ignore		9(N20)			2310	
335	𒛘	9(N34)	NINE-N34	ignore		9(N34)			2388	
336	𒛙	9(N34@f)	NINE-N34 FLAT	ignore		9(N34@f)			2389	
337	𒛚	9(N36)	NINE-N36	ignore		9(N36)			2402	
338	𒛛	9(N45)	NINE-N45	ignore		9(N45)			2462	
339	𒛜	9(N45@f)	NINE-N45 FLAT	ignore		9(N45@f)			2463	
340	𒛝	9(N51@f)	NINE-N51 FLAT	ignore		9(N51@f)			2506	
341	𒛞	9(N57)	NINE-N57	ignore		9(N57)			2591	
342	𒛟	9(N58)	NINE-N58	ignore		9(N58)			2611	
343	𒛠	10(N01)	TEN-N1	ignore		10(N01)			2175	
344	𒛡	10(N14)	TEN-N14	ignore		10(N14)			2261	
345	𒛢	10(N14@f)	TEN-N14 FLAT	ignore		10(N14@f)			2262	
346	𒛣	10(N57)	TEN-N57	ignore		10(N57)			2592	
347	𒛤	10(N58)	TEN-N58	ignore		10(N58)			2612	
348	𒛥	12(N14)	TWELVE-N14	ignore		12(N14)			2264	
349	𒛦	12(N58)	TWELVE-N58	ignore		12(N58)			2613	
350	𒛧	A	A			A			2	
351	𒛨	A@t	A TENU			A@t			12	
352	𒛩	A@g	A GUNU	remove		A@g			11	
353	𒛪	A2	A2			A₂			13	
354	𒛫	AB~a	AB-A			AB~a			27	
354.1	𒛬	AB~a	AB-A VARIANT 1			AB~a~v1			38	
355	𒛭	AB~a@g	AB-A GUNU			AB~a@g			39	
356	𒛮	AB~b	AB-B			AB~b			40	
357	𒛯	AB2	AB2			AB₂			46	
357.1	𒛰	AB2	AB2 VARIANT 1			AB₂~v1			50	
358	𒛱	ABGAL	ABGAL			ABGAL			54	
