id_text	primary_publication	publication_history
P000180	CDLI Lexical 000007, ex. 009	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 026, W 19771,f
P000181	CDLI Lexical 0000archun36, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 089, W 19771,g+
P000182	CDLI Lexical 000007, ex. 002	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 025, W 19771,h
P000183	CDLI Lexical 000023, ex. 003	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 054, W 19771,i
P000184	CDLI Lexical 000002, ex. 033	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 006, W 19771,j+
P000187	CDLI Lexical 000022, ex. 002	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 037, W 19771,m+
P000188	CDLI Lexical 000007, ex. 003	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 025, W 19771,n
P000189	CDLI Lexical Archaic Unidentified, ex. 040	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 089, W 19771,o
P000190	CDLI Lexical Archaic Unidentified, ex. 041	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 089, W 19771,p
P000191	CDLI Lexical Archaic Unidentified, ex. 042	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 089, W 19772,c
P000193	CDLI Lexical 000011, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 028, W 19780
P000194	CDLI Lexical 000023, ex. 020	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 056, W 19785,b
P000195	ATU 3, pl. 083, W 19948,8	
P000196	ATU 3, pl. 083, W 19948,9	
P000197	ATU 3, pl. 083, W 19948,10	
P000198	CDLI Lexical 000022, ex. 017	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 041, W 19948,20
P000199	CDLI Lexical 000011, ex. 011	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 029, W 19948,22
P000200	CDLI Lexical 000028, ex. 04	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 075, W 19948,23, 
P000201	CDLI Lexical 000265, ex. 003	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 078, W 19948,24+
P000202	CDLI Lexical 000023, ex. 054	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 061, W 19948,29
P000203	CDLI Lexical 000030, ex. 002	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 044, W 19948,30a
P000204	CDLI Lexical 000028, ex. 05	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 075, W 19948,30b, 
P000205	CDLI Lexical Archaic Unidentified, ex. 043	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 089, W 19948,32
P000206	CDLI Lexical 000030, ex. 034	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 050, W 19948,33
P000207	CDLI Lexical 000002, ex. 144	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 020, W 19948,34
P000208	CDLI Lexical 000002, ex. 048	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 009, W 19948,35
P000210	CDLI Lexical 000002, ex. 005	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 001, W 19948,39
P000211	CDLI Lexical 000002, ex. 006	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 001, W 19948,40
P000212	CDLI Lexical 000002, ex. 039	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 007, W 19948,41
P000213	CDLI Lexical 000023, ex. 047	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 060, W 19948,42
P000214	CDLI Lexical 000002, ex. 008	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 002, W 19948,43a
P000215	CDLI Lexical 000023, ex. 042	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 059, W 19948,43b
P000216	CDLI Lexical 000013, ex. 002	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 031, W 19948,44
P000217	CDLI Lexical 000013, ex. 003	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 031, W 19948,45
P000218	CDLI Lexical Archaic Unidentified, ex. 044	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 089, W 19948,46
P000219	CDLI Lexical Archaic Unidentified, ex. 045	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 089, W 19948,47
P000220	CDLI Lexical Archaic Unidentified, ex. 046	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 090, W 19948,48
P000221	CDLI Lexical 000026, ex. 003	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 068, W 19948,49
P000222	CDLI Lexical 000002, ex. 053	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 010, W 19948,50
P000223	CDLI Lexical 000030, ex. 003	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 044, W 19948,57
P000224	CDLI Lexical 000030, ex. 040	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 051, W 19948,68
P000225	CDLI Lexical 000022, ex. 011	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 040, W 20044,45
P000226	CDLI Lexical 000022, ex. 024	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 042, W 20044,46+
P000227	CDLI Lexical 000030, ex. 020	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 048, W 20044,47
P000229	CDLI Lexical Archaic Unidentified, ex. 047	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 090, W 20213,4a
P000230	CDLI Lexical 000023, ex. 068	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 063, W 20213,4b
P000231	CDLI Lexical 000013, ex. 015	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 033, W 20213,4c
P000232	CDLI Lexical 000017, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 035, W 20213,4d
