pcsl	cdli	cdli_fixed_flag	recommendation	encoding_status	unicode_codepoint	unicode_name
DARA₃~d	DARA3~d	False	keep	proposed	12733	PROTO-CUNEIFORM SIGN DARA3-D
|DARA₃~d×KAR₂~b|	|DARA3~dxKAR2|	False	keep	proposed	12734	PROTO-CUNEIFORM SIGN DARA3-D TIMES KAR2-B
|DARA₃~d1×KAR₂~b|	|DARA3~dxKAR2|	False	keep	proposed	12735	PROTO-CUNEIFORM SIGN DARA3-D1 TIMES KAR2-B
|DARA₃~d2×KAR₂~a1|	|DARA3~dxKAR2|	False	keep	proposed	12736	PROTO-CUNEIFORM SIGN DARA3-D2 TIMES KAR2-A1
|DARA₃~d2×(KAR₂~a1.ŠE~a)|	|DARA3~dx(KAR2.SZE~a)|	False	keep	proposed	12737	PROTO-CUNEIFORM SIGN DARA3-D2 TIMES KAR2-A1 PLUS SHE-A
DARA₄~a1	DARA4~a1	False	keep	proposed	12738	PROTO-CUNEIFORM SIGN DARA4-A1
DARA₄~a2	DARA4~a2	False	keep	proposed	12739	PROTO-CUNEIFORM SIGN DARA4-A2
DARA₄~a3	DARA4~a3	False	keep	proposed	1273A	PROTO-CUNEIFORM SIGN DARA4-A3
DARA₄~b	DARA4~b	False	keep	proposed	1273B	PROTO-CUNEIFORM SIGN DARA4-B
DARA₄~c1	DARA4~c1	False	keep	proposed	1273C	PROTO-CUNEIFORM SIGN DARA4-C1
DARA₄~c2	DARA4~c2	False	keep	proposed	1273D	PROTO-CUNEIFORM SIGN DARA4-C2
DARA₄~c3	DARA4~c3	False	keep	proposed	1273E	PROTO-CUNEIFORM SIGN DARA4-C3
DARA₄~c4	DARA4~c4	False	keep	proposed	1273F	PROTO-CUNEIFORM SIGN DARA4-C4
DARA₄~c5	DARA4~c5	False	keep	proposed	12740	PROTO-CUNEIFORM SIGN DARA4-C5
DI	DI	False	keep	proposed	12741	PROTO-CUNEIFORM SIGN DI
DI@t	DI@t	False	keep	proposed	12742	PROTO-CUNEIFORM SIGN DI TENU
DIB	DIB	False	keep	proposed	12743	PROTO-CUNEIFORM SIGN DIB
DIB~v1	DIB	False	keep	proposed	12744	PROTO-CUNEIFORM SIGN DIB VARIANT 1
