12BA3	𒵟	PROTO-CUNEIFORM SIGN ZATU737 TIMES NIMGIR	o0902670
12BA4	𒵠	PROTO-CUNEIFORM SIGN ZATU737 TIMES SU-A	o0902673
12BA5	𒵡	PROTO-CUNEIFORM SIGN ZATU737 TIMES SHE-A	o0902675
12BA6	𒵢	PROTO-CUNEIFORM SIGN ZATU737 TIMES SHITA-A1	o0902677
12BA7	󳀊	PROTO-CUNEIFORM SIGN ZATU737 TENU TIMES PAP-A	o0902685
12BA8	𒵬	PROTO-CUNEIFORM SIGN ZATU749~a	o0902687
12BA9	𒵯	PROTO-CUNEIFORM SIGN ZATU749~b	o0902690
12BAA	𒵰	PROTO-CUNEIFORM SIGN ZATU749~c	o0902691
12BAB	𒵱	PROTO-CUNEIFORM SIGN ZATU750	o0902692
12BAC	𒵵	PROTO-CUNEIFORM SIGN ZATU751~a	o0902697
12BAD	𒵶	PROTO-CUNEIFORM SIGN ZATU751~b	o0902698
12BAE	𒵷	PROTO-CUNEIFORM SIGN ZATU752	o0902699
12BAF	𒵹	PROTO-CUNEIFORM SIGN ZATU753	o0902701
12BB0	𒵺	PROTO-CUNEIFORM SIGN ZATU754	o0902702
12BB1	𒵻	PROTO-CUNEIFORM SIGN ZATU755~a	o0902704
12BB2	𒵼	PROTO-CUNEIFORM SIGN ZATU755~b	o0902705
12BB3	𒵽	PROTO-CUNEIFORM SIGN ZATU756	o0902706
12BB4	𒵿	PROTO-CUNEIFORM SIGN ZATU757	o0902708
12BB5	𒶁	PROTO-CUNEIFORM SIGN ZATU758	o0902710
12BB6	𒶂	PROTO-CUNEIFORM SIGN ZATU759	o0902711
12BB7	𒶃	PROTO-CUNEIFORM SIGN ZATU759 TIMES KU6-A	o0902714
12BB8	𒶄	PROTO-CUNEIFORM SIGN ZATU759 TIMES KU6-A JOINING KU6-A	o0902717
12BB9	𒶊	PROTO-CUNEIFORM SIGN ZATU762~a	o0902722
12BBA	𒶋	PROTO-CUNEIFORM SIGN ZATU762-A TIMES NIM-A	o0902729
12BBB	𒶎	PROTO-CUNEIFORM SIGN ZATU762~b	o0902725
12BBC	𒶏	PROTO-CUNEIFORM SIGN ZATU762-B TIMES AB-A	o0902727
12BBD	𒶐	PROTO-CUNEIFORM SIGN ZATU764	o0902730
12BBE	𒶑	PROTO-CUNEIFORM SIGN ZATU765	o0902731
12BBF	𒶒	PROTO-CUNEIFORM SIGN ZATU766	o0902732
12BC0	𒶓	PROTO-CUNEIFORM SIGN ZATU767	o0902733
12BC1	𒶔	PROTO-CUNEIFORM SIGN ZATU768	o0902734
12BC2	𒶕	PROTO-CUNEIFORM SIGN ZATU769	o0902735
12BC3	𒶖	PROTO-CUNEIFORM SIGN ZATU771	o0902736
12BC4	𒶗	PROTO-CUNEIFORM SIGN ZATU772	o0902737
12BC5	𒶘	PROTO-CUNEIFORM SIGN ZATU773~a	o0902739
12BC6	𒶚	PROTO-CUNEIFORM SIGN ZATU773~b	o0902741
12BC7	𒶛	PROTO-CUNEIFORM SIGN ZATU774	o0902742
12BC8	𒶜	PROTO-CUNEIFORM SIGN ZATU775	o0902743
12BC9	𒶝	PROTO-CUNEIFORM SIGN ZATU776	o0902744
12BCA	𒶟	PROTO-CUNEIFORM SIGN ZATU777	o0902746
12BCB	𒶢	PROTO-CUNEIFORM SIGN ZATU778	o0902749
12BCC	𒶤	PROTO-CUNEIFORM SIGN ZATU780	o0902751
12BCD	𒶥	PROTO-CUNEIFORM SIGN ZATU781	o0902752
12BCE	𒶦	PROTO-CUNEIFORM SIGN ZATU782	o0902753
12BCF	𒶧	PROTO-CUNEIFORM SIGN ZATU783	o0902754
12BD0	𒶨	PROTO-CUNEIFORM SIGN ZATU784	o0902755
12BD1	𒶩	PROTO-CUNEIFORM SIGN ZATU785	o0902756
12BD2	𒶪	PROTO-CUNEIFORM SIGN ZATU786	o0902757
12BD3	𒶫	PROTO-CUNEIFORM SIGN ZATU787	o0902758
12BD4	𒶬	PROTO-CUNEIFORM SIGN ZATU788	o0902759
12BD5	𒶮	PROTO-CUNEIFORM SIGN ZATU791	o0902761
12BD6	𒶯	PROTO-CUNEIFORM SIGN ZATU792	o0902762
12BD7	𒶰	PROTO-CUNEIFORM SIGN ZATU795	o0902763
12BD8	𒶱	PROTO-CUNEIFORM SIGN ZATU797	o0902764
12BD9	𒶲	PROTO-CUNEIFORM SIGN ZATU798	o0902765
12BDA	𒶳	PROTO-CUNEIFORM SIGN ZATU799	o0902766
12BDB	𒶴	PROTO-CUNEIFORM SIGN ZATU800	o0902767
12BDC	𒶵	PROTO-CUNEIFORM SIGN ZATU801	o0902768
12BDD	𒶶	PROTO-CUNEIFORM SIGN ZATU802	o0902769
12BDE	󳁑	PROTO-CUNEIFORM SIGN ZATU802~b	o0902770
12BDF	𒶷	PROTO-CUNEIFORM SIGN ZATU803	o0902771
12BE0	𒶸	PROTO-CUNEIFORM SIGN ZATU804	o0902772
12BE1	𒶺	PROTO-CUNEIFORM SIGN ZATU806	o0902774
12BE2	𒶻	PROTO-CUNEIFORM SIGN ZATU807	o0902775
12BE3	𒶼	PROTO-CUNEIFORM SIGN ZATU808	o0902776
12BE4	𒶽	PROTO-CUNEIFORM SIGN ZATU809	o0902777
12BE5	𒶾	PROTO-CUNEIFORM SIGN ZATU810	o0902778
12BE6	𒶿	PROTO-CUNEIFORM SIGN ZATU811	o0902779
12BE7	𒷀	PROTO-CUNEIFORM SIGN ZATU812	o0902780
12BE8	𒷁	PROTO-CUNEIFORM SIGN ZATU813	o0902781
12BE9	𒷄	PROTO-CUNEIFORM SIGN ZATU817	o0902784
12BEA	𒷅	PROTO-CUNEIFORM SIGN ZATU818	o0902785
12BEB	𒷆	PROTO-CUNEIFORM SIGN ZATU819	o0902786
12BEC	𒷑	PROTO-CUNEIFORM SIGN ZATU832	o0902797
12BED	𒷒	PROTO-CUNEIFORM SIGN ZATU833	o0902798
12BEE	𒷓	PROTO-CUNEIFORM SIGN ZATU834	o0902799
12BEF	𒷔	PROTO-CUNEIFORM SIGN ZATU835	o0902800
12BF0	𒷕	PROTO-CUNEIFORM SIGN ZATU836	o0902801
12BF1	𒷢	PROTO-CUNEIFORM SIGN ZATU847	o0902815
12BF2	𒷥	PROTO-CUNEIFORM SIGN ZATU850	o0902818
12BF3	𒷦	PROTO-CUNEIFORM SIGN ZATU851	o0902819
12BF4	𒷩	PROTO-CUNEIFORM SIGN ZATU854	o0902822
12BF5	󳀥	PROTO-CUNEIFORM SIGN ZATU858	o0902826
12BF6	󳁒	PROTO-CUNEIFORM SIGN ZATU859	o0902827
12BF7	𒷫	PROTO-CUNEIFORM SIGN ZI-A	o0902829
12BF8	𒷭	PROTO-CUNEIFORM SIGN ZI-B	o0902831
12BF9	𒷮	PROTO-CUNEIFORM SIGN ZI-D	o0902832
12BFA	𒷯	PROTO-CUNEIFORM SIGN ZUBI-A	o0902838
12BFB	󰄭	PROTO-CUNEIFORM SIGN ONE-N34 TIMES ONE-N58	o0903060
12BFC	󰄐	PROTO-CUNEIFORM NUMBER ONE-N57	o0903210
12BFD	󰄑	PROTO-CUNEIFORM NUMBER TWO-N57	o0903222
12BFE	󰄒	PROTO-CUNEIFORM NUMBER THREE-N57	o0903234
12BFF	󰄓	PROTO-CUNEIFORM NUMBER FOUR-N57	o0903257
12C00	󰄔	PROTO-CUNEIFORM NUMBER FIVE-N57	o0903264
12C01	󰄕	PROTO-CUNEIFORM NUMBER SIX-N57	o0903268
12C02	󰄖	PROTO-CUNEIFORM NUMBER SEVEN-N57	o0903273
12C03	󰄗	PROTO-CUNEIFORM NUMBER EIGHT-N57	o0903275
12C04	󰄘	PROTO-CUNEIFORM NUMBER NINE-N57	o0903278
12C05	󰄙	PROTO-CUNEIFORM NUMBER TEN-N57	o0903279
