o0980154	12706	©	|DARA₃~c×KAR₂|	|DARA₃~c×KAR₂|	|DARA3~cxKAR2|	I	𒜰	𒜰;󳃘	EASL0148 EAVR032	o0980154
o0980155	12707	©	|DARA₃~c×(KAR₂.ŠE~a)|	|DARA₃~c×(KAR₂.ŠE~a)|	|DARA3~cx(KAR2.SZE~a)|	I	𒜱	𒜱	EASL0149 EAAR054	o0980155
o0980156	12708	©	DARA₃~d	DARA₃~d	DARA3~d	I	𒜳	𒜳	EASL0150 EALX069	o0980156
o0980157	12709	©	|DARA₃~d×(KAR₂.ŠE~a)|	|DARA₃~d×(KAR₂.ŠE~a)|	|DARA3~dx(KAR2.SZE~a)|	I	𒜷	𒜷	EASL0151	o0980157
o0980158	1270A	©	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂~b|	|DARA3~dxKAR2|	I	𒜴	𒜵,𒜴,𒜶	EASL0152 EALX070 EAAR055	o0980158
o0980159	1270B	©	DARA₄~a1	DARA₄~a1	DARA4~a1	I	𒜸	𒜸	EASL0153 EALX071 EAVR033	o0980159
o0980160	1270C	©	DARA₄~a2	DARA₄~a2	DARA4~a2	I	𒜹	𒜹	EASL0154 EAAR056	o0980160
o0980161	1270D	©	DARA₄~a3	DARA₄~a3	DARA4~a3	I	𒜺	𒜺	EASL0155 EALX072	o0980161
o0980162	1270E	©	DARA₄~b	DARA₄~b	DARA4~b	I	𒜻	𒜻	EASL0156 EALX073 EAAR057	o0980162
o0980163	1270F	©C31t	DARA₄~c	DARA₄~c	-	I	󳁩	󳁩	CSL012	-
o0980164	12710	©	DARA₄~c1	DARA₄~c1	DARA4~c1	I	𒜼	𒜼	EASL0157 EALX074 EAVR034	o0980164
o0980165	12711	©	DARA₄~c2	DARA₄~c2	DARA4~c2	I	𒜽	𒜽	EASL0158	o0980165
o0980166	12712	©	DARA₄~c3	DARA₄~c3	DARA4~c3	I	𒜾	𒜾	EASL0159	o0980166
o0980167	12713	©	DARA₄~c4	DARA₄~c4	DARA4~c4	I	𒜿	𒜿	EASL0160	o0980167
o0980168	12714	©	DARA₄~c5	DARA₄~c5	DARA4~c5	I	𒝀	𒝀	EASL0161	o0980168
o0980169	12715	©C21b	DARA₄~d	DARA₄~d	-	I	󳀯	󳀯	CSL013	-
o0980170	12716	©	DI	DI	DI	I	𒝁	𒝁	EASL0162 EALX075 EAAR058 EAJN035 EAVR035	o0980170
o0980171	12717	©	DI@t	DI@t	DI@t	I	𒝂	𒝂	EASL0163 EALX076	o0980171
o0980172	12718	©	DIB	DIB	DIB	I	𒝃	𒝃,𒝄;󳃙	EASL0164 EALX077 EAAR059 EAVR036	o0980172
o0980173	12719	©	DILMUN	DILMUN	DILMUN	I	𒝅	𒝇,𒝅,𒝆	EASL0165 EALX078 EAAR060	o0980173
o0980174	1271A	©	DIM~a	DIM~a	DIM~a	I	𒝈	𒝈;󳂙	EASL0166 EAAR061 EAJN036 EAVR037	o0980174
o0980177	1271B	©	DIM~b	DIM~b	DIM~b	I	𒝉	𒝉	EASL0169 EAAR062	o0980177
o0980178	1271C	©	DIM~c	DIM~c	DIM~c	I	𒝊	𒝊	EASL0170 EALX079	o0980178
o0980179	1271D	©	DIN	DIN	DIN	I	𒝋	𒝋	EASL0171 EALX080 EAAR063 EAJN037 EAVR038	o0980179
o0980180	1271E	©C31t	|DIN×1(N58)|	|DIN×1(N58)|	-	I	󳀰	󳀰	CSL014	-
o0980181	1271F	©	DIN@t	DIN@t	DIN@t	I	𒝌	𒝌	EASL0172	o0980181
o0980182	12720	©	DU	DU	DU	DU	𒝍	𒝍	EASL0173 EALX081 EAAR064 EAJN038 EAVR039	o0980182
o0980183	12721	©	|DU×1(N58@t)|	|DU×1(N58@t)|	|DUxDISZ|	I	𒝎	𒝎	EASL0174 EAJN039	o0980183
o0980184	12722	©	DU@g	DU@g	DU@g	I	𒝏	𒝏	EASL0175 EAJN040	o0980184
o0980185	12723	©	DU₆~a	DU₆~a	DU6~a	I	𒝐	𒝑,𒝐;󳂯,󳂚	EASL0176 EALX082 EAJN041	o0980185
o0980186	12724	©n	|DU₆~a×1(N58)|	|DU₆~a~v1×1(N58)|	|DU6~axDISZ|	I	𒝒	𒝒	EASL0177	o0980186
o0980188	12725	©	DU₆~b	DU₆~b	DU6~b	I	𒝓	𒝓	EASL0179 EALX083 EAAR065	o0980188
o0980189	12726	©	DU₆~c	DU₆~c	DU6~c	I	𒝔	𒝔	EASL0180 EALX084	o0980189
o0980190	12727	©	DU₇	DU₇	DU7	I	𒝕	𒝕	EASL0181 EALX085	o0980190
o0980191	12728	©	DU₈~a	DU₈~a	DU8~a	I	𒝖	𒝖	EASL0182	o0980191
o0980192	12729	©	DU₈~b	DU₈~b	DU8~b	I	𒝗	𒝗,𒝘	EASL0183 EAAR066	o0980192
o0980193	1272A	©	DU₈~c	DU₈~c	DU8~c	I	𒝙	𒝙	EASL0184 EAAR067 EAJN042	o0980193
o0980194	1272B	©C01b	|DU₈~c×AB₂|	|DU₈~c×AB₂|	-	I	󳀱	󳀱	CSL015	-
o0980195	1272C	©C01b	|DU₈~c×AMAR|	|DU₈~c×AMAR|	-	I	󳀲	󳀲	CSL016	-
o0980196	1272D	©	|DU₈~c×HI|	|DU₈~c×HI|	|DU8~cxHI|	I	𒝚	𒝚	EASL0185 EAAR068	o0980196
o0980197	1272E	©	|DU₈~c×UDU~a|	|DU₈~c×UDU~a|	|DU8~cxUDU~a|	I	𒝛	𒝛	EASL0186 EALX086	o0980197
o0980199	1272F	©	DU₈~c@g	DU₈~c@g	DU8~c@g	I	𒝝	𒝝,𒝞	EASL0188 EALX087	o0980199
o0980200	12730	©	DUB~a	DUB~a	DUB~a	I	𒝟	𒝟	EASL0189 EALX088 EAAR069 EAJN043 EAVR040	o0980200
o0980201	12731	©	DUB~b	DUB~b	DUB~b	I	𒝢	𒝡,𒝠,𒝣,𒝢,𒝤	EASL0190 EALX089 EAAR070 EAJN044 EAVR041	o0980201
o0980203	12732	©	DUB~c	DUB~c	DUB~c	I	𒝥	𒝥	EASL0192	o0980203
o0980204	12733	©	DUB~d	DUB~d	DUB~d	I	𒝦	𒝦	EASL0193 EAAR071	o0980204
o0980205	12734	©	DUB~e	DUB~e	DUB~e	I	𒝧	𒝧	EASL0194	o0980205
o0980206	12735	©	DUB~f	DUB~f	DUB~f	I	𒝨	𒝨	EASL0195	o0980206
o0980207	12736	©C21b	DUB~h	DUB~h	-	I	󳀳	󳀳	CSL017	-
o0980208	12737	©	|(DUB@n~a×1(N58))~a|	|(DUB@n~a×1(N58))~a|	|(DUBxDISZ)~a|	I	𒝩	𒝩	EASL0196	o0980208
o0980209	12738	©	|(DUB@n~a×1(N58))~b|	|(DUB@n~a×1(N58))~b|	|(DUBxDISZ)~c|	I	𒝪	𒝪	EASL0197 EALX090 EAAR072	o0980209
o0980210	12739	©	|DUB@n~b×1(N58)~a|	|DUB@n~b×1(N58)~a|	|(DUBxDISZ)~b|	I	𒝫	𒝫	EASL0198 EAAR073	o0980210
o0980211	1273A	©	DUB₂	DUB₂	DUB2	I	𒝬	𒝬	EASL0199 EALX091	o0980211
o0980212	1273B	©	DUG~a	DUG~a	DUG~a	I	𒝭	𒝶,𒝵,𒝭	EASL0200 EALX092 EAAR074 EAJN045 EAVR042	o0980212
o0980215	1273C	©C31t	|DUG~a×KU₆~a|	|DUG~a×KU₆~a|	-	I	󳁪	󳁪	CSL018	-
o0980217	1273D	©	|DUG~a×NAGA~a|	|DUG~a×NAGA~a|	|DUG~axNAGA~a|	I	𒝰	𒝰	EASL0204 EAVR044	o0980217
o0980218	1273E	©	|DUG~a×U₂~a|	|DUG~a×U₂~a|	|DUG~axU2~a|	I	𒝱	𒝱	EASL0205 EAVR045	o0980218
o0980219	1273F	©	|DUG~a×U₂~b|	|DUG~a×U₂~b|	|DUG~axU2~b|	I	𒝲	𒝲	EASL0206	o0980219
o0980221	12740	©	|DUG~a×1(N57)|	|DUG~a×1(N57)|	|DUG~ax1(N57)|	I	𒝳	𒝳	EASL0208 EALX094 EAVR043	o0980221
