o0028251	AMA~a	o0900077
o0035512	AMA~a~v1	o0900078
o0028255	AMA~b	o0900079
o0028257	AM~a	o0900074
o0028261	AM~b	o0900075
o0000099	AN	o0900089
o0028270	ANZU₂	o0900098
o0035518	AN~v1	o0900090
o0035520	AN~v2	o0900091
o0000101	ANŠE	o0900092
o0028263	ANŠE~a	o0900093
o0028265	ANŠE~b	o0900094
o0028267	ANŠE~c	o0900095
o0036034	ANŠE~d	o0903395
o0028269	ANŠE~e	o0900096
o0036324	ANŠE~f	o0900097
o0000102	APIN	o0900099
o0028274	APIN~a	o0900100
o0028276	APIN~b	o0900101
o0028278	APIN~c	o0900102
o0036071	ARARMA₂	o0900105
o0027166	ARARMA₂~a	o0900106
o0035522	ARARMA₂~a~v1	o0900107
o0028280	ARARMA₂~b	o0900108
o0028282	ARATTA	o0900109
o0028284	ASAL₂	o0900110
o0028286	ASAR	o0900111
o0028297	AZ	o0900113
o0028299	AZU	o0900114
o0000106	AŠ	o0903210
o0000110	AŠ₂	o0900112
o0000112	A₂	o0900010
o0000113	BA	o0900115
o0000114	BAD	o0900116
o0036026	BAD~a	o0903396
o0036073	BAD₃	o0900118
o0028300	BAD₃~a	o0900119
o0037782	BAD₃~a1	o0900120
o0028302	BAD₃~b1	o0900121
o0028304	BAD₃~b2	o0900122
o0000117	BAHAR₂	o0900123
o0028306	BAHAR₂~a	o0900124
o0035524	BAHAR₂~a~v1	o0900125
o0028307	BAHAR₂~b	o0900126
o0035526	BAHAR₂~b~v1	o0900127
o0028309	BAHAR₂~c	o0900128
o0036075	BALA	o0900129
o0000119	BALAG	o0900133
o0035529	BALAG~v1	o0900134
o0028311	BALA~a	o0900130
o0028312	BALA~b	o0900131
o0035528	BALA~b~v1	o0900132
o0036077	BAN	o0900135
o0028314	BAN~a	o0900136
o0035531	BAN~a~v1	o0900137
o0035533	BAN~a~v2	o0900138
o0028316	BAN~b	o0900139
o0036078	BANŠUR	o0900140
o0036792	BANŠUR@t	o0900145
o0028318	BANŠUR~a	o0900141
o0028320	BANŠUR~a@t	o0900146
o0028322	BANŠUR~b1	o0900142
o0028324	BANŠUR~b2	o0900143
o0028326	BANŠUR~c	o0900144
o0036080	BAPPIR	o0900147
o0028328	BAPPIR~a	o0900148
o0028330	BAPPIR~b	o0900149
o0028332	BAPPIR~c	o0900150
o0028333	BAPPIR~d	o0900151
o0028335	BAPPIR~e	o0900152
o0028337	BAPPIR~f	o0900153
o0000120	BAR	o0900154
o0000121	BARA₂	o0900157
o0028339	BARA₂~a	o0900158
o0035535	BARA₂~a~v1	o0900159
o0028341	BARA₂~b	o0900160
o0035537	BARA₂~b~v1	o0900161
o0028342	BARA₃	o0900162
o0027169	BAU405	o0900163
o0036082	BIR	o0900164
o0028350	BIR~a	o0900165
o0028352	BIR~b	o0900166
o0028354	BIR~c	o0900167
o0036084	BIR₃	o0900168
o0028344	BIR₃~a	o0900169
o0035539	BIR₃~a~v1	o0900170
o0028346	BIR₃~b	o0900171
o0035540	BIR₃~b~v1	o0900172
o0028348	BIR₃~c	o0900173
o0000124	BU	o0900174
o0000128	BULUG	o0900206
o0028375	BULUG₃	o0900207
o0000129	BUR	o0900210
o0028377	BUR~a	o0900211
o0028379	BUR~b	o0900212
o0028381	BUR~c	o0900213
o0028383	BUR~d	o0900214
o0000131	BUR₂	o0900215
o0028363	BU~a	o0900175
o0035542	BU~a~v1	o0900176
o0028371	BU~b	o0900177
o0028356	BU₃	o0900205
o0000132	DA	o0900216
o0000133	DAG	o0900223
o0028395	DAH	o0900224
o0000134	DAM	o0900225
o0028397	DANNA	o0900226
