P000705	CDLI Lexical 000007, ex. 014	Englund, Robert K. & Nissen, Hans J., ATU 7, pl. 94, HD 05
P003599	ATU 7, pl. 051, W 20274,101	
P003600	ATU 7, pl. 051, W 20274,102	Green, Margaret W., JNES 39 (1980) 027 17
P003601	ATU 7, pl. 051, W 20274,103	Green, Margaret W., JNES 39 (1980) 031 31
P003602	ATU 7, pl. 052, W 20274,104	Green, Margaret W., JNES 39 (1980) 027 20
P003603	ATU 7, pl. 052, W 20274,105	
P003604	ATU 7, pl. 052, W 20274,106	
P003605	ATU 7, pl. 052, W 20274,107	Green, Margaret W., JNES 39 (1980) 026 14
P003607	ATU 7, pl. 052, W 20274,109	
P003608	ATU 7, pl. 052, W 20274,110	Copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 136 fig. 47
P003619	ATU 7, pl. 053, W 20274,121	
P003620	ATU 7, pl. 053, W 20274,122	
P003621	ATU 7, pl. 053, W 20274,123	
P003622	ATU 7, pl. 053, W 20274,124	
P003623	ATU 7, pl. 053, W 20274,125	Green, Margaret W., VL 15 (1981) 355
P003629	ATU 7, pl. 054, W 20274,131	
P003630	ATU 7, pl. 054, W 20274,132	
P003631	ATU 7, pl. 054, W 20274,133	Green, Margaret W., JNES 39 (1980) 027 18
P003632	ATU 7, pl. 054, W 20274,134	
P003633	ATU 7, pl. 054, W 20274,135	
P003635	ATU 7, pl. 054, W 20274,137	
P003636	ATU 7, pl. 054, W 20274,138	
P003637	ATU 7, pl. 055, W 20274,139	
P003638	ATU 7, pl. 055, W 20274,140	
P003649	ATU 7, pl. 055, W 20274,151	
P003650	ATU 7, pl. 055, W 20274,152	
P003653	ATU 7, pl. 055, W 20274,156	
P003654	ATU 7, pl. 056, W 20327,1	ATU 2, plate 32 obv. (p, c)
P003657	ATU 7, pl. 057, W 20327,5	ATU 2, plate 32 obv.
P003659	ATU 7, pl. 057, W 20327,7	ATU 2, plate 32 obv.
P003660	ATU 7, pl. 057, W 20327,8	ATU 2, plate 32 obv.
P003661	ATU 7, pl. 057, W 20327,9	ATU 2, plate 33 obv.
P003662	ATU 7, pl. 057, W 20327,10	ATU 2, plate 33 obv.
P003663	ATU 7, pl. 057, W 20327,11	ATU 2, plate 33 obv.
P003666	ATU 7, pl. 057, W 20327,14	Green, Margaret W., JNES 39 (1980) 027 19; ATU 2, plate 33 obv.
P003668	ATU 7, pl. 057, W 20327,16	ATU 2, plate 34
P003671	ATU 7, pl. 058, W 20335,5	BagM 2, catalogue; ATU 2, plate 35 obv.
P003672	ATU 7, pl. 058, W 20335,6	BagM 2, catalogue; ATU 2, plate 35 obv.
P003673	ATU 7, pl. 058, W 20335,10	ATU 2, plate 35 obv.
P003674	ATU 7, pl. 058, W 20335,11	ATU 2, plate 35 obv.
P003675	ATU 7, pl. 058, W 20364,1+	
P003693	ATU 7, pl. 058, W 20368,1	
P003694	ATU 7, pl. 059, W 20368,2	Frühe Schrift, p. 77, no. 10.2; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 62 fig. 19
P003695	ATU 7, pl. 059, W 20369,1	
P003696	ATU 7, pl. 059, W 20369,2	
P003698	ATU 7, pl. 059, W 20372	
P003701	ATU 7, pl. 059, W 20385,1	
P003702	ATU 7, pl. 059, W 20385,2	
P003708	ATU 7, pl. 060, W 20493,1	
P003709	ATU 7, pl. 060, W 20493,2	
P003710	ATU 7, pl. 060, W 20493,3	
P003711	ATU 7, pl. 061, W 20493,4	
P003712	ATU 7, pl. 061, W 20493,5	
P003713	ATU 7, pl. 061, W 20493,6+	
P003714	ATU 7, pl. 061, W 20493,7	
P003715	ATU 7, pl. 061, W 20493,8	
P003716	ATU 7, pl. 061, W 20493,9+	
P003717	ATU 7, pl. 062, W 20493,10	
P003718	ATU 7, pl. 062, W 20493,11	
P003719	ATU 7, pl. 062, W 20493,12+	
P003721	ATU 7, pl. 062, W 20493,14+	
P003722	ATU 7, pl. 062, W 20493,15	
P003723	ATU 7, pl. 063, W 20493,16	
P003724	ATU 7, pl. 063, W 20493,17	
P003725	ATU 7, pl. 063, W 20493,18	
P003726	ATU 7, pl. 063, W 20493,19	
P003727	ATU 7, pl. 063, W 20493,20	
P003728	ATU 7, pl. 063, W 20493,23	
P003729	ATU 7, pl. 064, W 20493,24	
P003731	ATU 7, pl. 064, W 20493,27	
P003732	ATU 7, pl. 064, W 20493,28	
P003733	ATU 7, pl. 064, W 20493,29+	
P003734	ATU 7, pl. 064, W 20493,30	
P003735	ATU 7, pl. 064, W 20493,31	
P003737	ATU 7, pl. 064, W 20493,33	
P003738	ATU 7, pl. 064, W 20493,34	
P003741	ATU 7, pl. 064, W 20493,37	
P003742	ATU 7, pl. 064, W 20493,38	
P003743	ATU 7, pl. 065, W 20493,39	
P003744	ATU 7, pl. 065, W 20493,40	
P003745	ATU 7, pl. 065, W 20493,41	
P003746	ATU 7, pl. 065, W 20493,42	
P003747	ATU 7, pl. 065, W 20493,43	
