o0980252	12759	𒝙	|DUG~b×(SA~a.GI)|	PROTO-CUNEIFORM SIGN DUG-B TIMES SA-A PLUS GI
o0980253	1275A	𒝚	|DUG~b×SI₄~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES SI4-A
o0980255	1275B	𒝛	|DUG~b×SIG₂~a1|	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG2-A1
o0980256	1275C	𒝜	|DUG~b×SIG₂~a2|	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG2-A2
o0980257	1275D	𒝝	|DUG~b×SIG₇|	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG7
o0980258	1275E	𒝞	|DUG~b×SUHUR|	PROTO-CUNEIFORM SIGN DUG-B TIMES SUHUR
o0980260	1275F	𒝟	|DUG~b×ŠAH₂~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES SHAH2-A
o0980261	12760	𒝠	|DUG~b×ŠE~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES SHE-A
o0980262	12761	𒝡	|DUG~b×(ŠE~a.NAM₂)|	PROTO-CUNEIFORM SIGN DUG-B TIMES SHE-A PLUS NAM2
o0980263	12762	𒝢	|DUG~b×TAK₄~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A
o0980264	12763	𒝣	|DUG~b×(TAK₄~a.SA~a)|	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A PLUS SA-A
o0980265	12764	𒝤	|DUG~b×(TAK₄~a.SAL)|	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A PLUS SAL
o0980266	12765	𒝥	|DUG~b×TI|	PROTO-CUNEIFORM SIGN DUG-B TIMES TI
o0980267	12766	𒝦	|DUG~b×U₂~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES U2-A
o0980268	12767	𒝧	|DUG~b×U₂~b|	PROTO-CUNEIFORM SIGN DUG-B TIMES U2-B
o0980269	12768	𒝨	|DUG~b×(UDU~a×TAR~b)|	PROTO-CUNEIFORM SIGN DUG-B TIMES UDU-A TIMES TAR-B
o0980270	12769	𒝩	|DUG~b×UH₃~a|	PROTO-CUNEIFORM SIGN DUG-B TIMES UH3-A
o0980271	1276A	𒝪	|DUG~b×UH₃~a@t|	PROTO-CUNEIFORM SIGN DUG-B TIMES UH3-A TENU
