id_text	publications_key
P000782	Englund1994ATU5
P000783	Englund1994ATU5; Falkenstein1936ATU1
P000784	Englund1994ATU5; Falkenstein1936ATU1
P000785	Englund1994ATU5; Falkenstein1936ATU1
P000786	Englund1994ATU5; Falkenstein1936ATU1
P000787	Englund1994ATU5; Falkenstein1936ATU1
P000788	Englund1994ATU5; Falkenstein1936ATU1
P000789	Englund1994ATU5; Falkenstein1936ATU1
P000790	Englund1994ATU5; Falkenstein1936ATU1
P000791	Englund1994ATU5; Falkenstein1936ATU1; Szarzyńska1970Uruk
P000792	Englund1994ATU5; Falkenstein1936ATU1
P000793	Englund1994ATU5
P000794	Englund1994ATU5
P000795	Englund1994ATU5
P000796	Englund1994ATU5
P000797	Englund1994ATU5
P000798	Englund1994ATU5
P000799	Englund1994ATU5
P000800	Englund1994ATU5
P000801	Englund1994ATU5
P000802	Englund1994ATU5
P000803	Englund1994ATU5
P000804	Englund1994ATU5; Falkenstein1936ATU1
P000805	Englund1994ATU5; Falkenstein1936ATU1
P000806	Englund1994ATU5; Falkenstein1936ATU1
P000807	Englund1994ATU5; Falkenstein1936ATU1
P000808	Englund1994ATU5; Falkenstein1936ATU1
P000809	Englund1994ATU5; Falkenstein1936ATU1
P000810	Englund1994ATU5; Falkenstein1936ATU1
P000811	Englund1994ATU5
P000812	Englund1994ATU5; Falkenstein1936ATU1
P000813	Englund1994ATU5; Falkenstein1936ATU1; Nissen1991FrüheSchrift; Woods2010writing
P000814	Englund1994ATU5
P000815	Englund1994ATU5
P000816	Englund1994ATU5; Falkenstein1936ATU1
P000817	Englund1994ATU5; Falkenstein1936ATU1
P000818	Englund1994ATU5
P000819	Englund1994ATU5
P000820	Englund1994ATU5; Falkenstein1936ATU1; LambertM1966Archeologia12; Szarzyńska1970Uruk; Veenhof1978spijkerschrift
P000821	Englund1994ATU5; Falkenstein1936ATU1
P000822	Englund1994ATU5; Falkenstein1936ATU1
P000823	Englund1994ATU5; Falkenstein1936ATU1
P000824	Englund1994ATU5
P000825	Englund1994ATU5
P000826	Englund1994ATU5
P000827	Englund1994ATU5
P000828	Englund1994ATU5; Falkenstein1936ATU1
P000829	Englund1994ATU5; Falkenstein1936ATU1
P000830	Englund1994ATU5; Falkenstein1936ATU1
P000831	Englund1994ATU5; Falkenstein1936ATU1
